Individual,collection,AHR,AIING,BDNF,BMP2,HMGB2,HNFL,NB22519,PSMC1,PAX1P1,R35,RAG-1,TB01,TB29,TB73,ZFHX1B
Cporteri_HBS117537,H.B Shaffer Collection,MT958347,MT964019,MT959166,MT959421,MT965132,MT959940,MT960352,MT964659,MT961030,MT961262,MT961752,MT962181,MT962671,MT963105,MT963482
Cporteri_HBS117538,H.B Shaffer Collection,MT958348,MT964020,MT959164,MT959422,MT965131,MT959941,MT960353,MT964660,MT961029,MT961263,MT961753,MT962182,MT962672,MT963106,MT963483
Cpritchardi_AA21811,University of Canberra Wildlife Tissue Collection,MT958349,MT964021,MT959246,MT959423,MT965292,-,-,MT964900,MT960718,MT961264,MT961754,MT962183,MT962673,MT963107,MT963484
Creimanni_451,University of Canberra Wildlife Tissue Collection,MT958350,MT964022,MT959243,MT959424,MT965448,-,-,MT964902,MT961010,MT961265,MT961755,MT962184,MT962674,MT963108,MT963485
Creimanni_LACM183222,Los Angeles County Museum,MT958351,MT964023,MT959244,MT959425,MT965286,-,-,MT964901,MT961011,MT961266,MT961756,MT962185,MT962675,MT963109,MT963486
Creimanni_LACM183223,Los Angeles County Museum,MT958352,MT964024,MT959245,MT959426,MT965293,-,-,MT964845,MT961012,MT961267,MT961757,MT962186,MT962676,MT963110,MT963487
Crossignonii_HBS29331,H.B Shaffer Collection,MT958353,MT964025,MT958906,MT959427,MT965026,MT959942,MT960354,MT964546,MT960858,MT961268,-,MT962187,MT962677,MT963111,MT963488
Crugosa_HBS32056,H.B Shaffer Collection,-,MT964026,MT959233,MT959428,MT965291,MT959943,-,MT964848,MT960999,MT961269,-,MT962188,MT962678,MT963112,MT963489
Crugosa_NTMR13430,University of Canberra Wildlife Tissue Collection,KP876671,KP876634,KP876708,KP876745,KP876839,KP876813,-,KP877088,MT960725,KP876875,MT961758,KP876982,MT962679,KP877019,KP877051
Csenegalensis_HBS16390,H.B Shaffer Collection,MT958355,MT964028,MT958814,MT959430,MT965441,-,MT960355,MT964477,MT960734,MT961271,-,-,MT962680,-,MT963491
Cserpentina_HBS23551,H.B Shaffer Collection,GU085512,GU085531,GU085550,GU085569,GU085588,GU085606,GU085621,GU085639,GU085657,AY742461,AY687906,GU085697,EU907535,MT963114,GU085838
Cserpentina_HBS39713,H.B Shaffer Collection,MT958356,MT964029,MT958910,MT959431,MT965025,MT959945,MT960356,MT964547,MT960899,AY905231,MT961759,MT962190,MT962681,MT963115,MT963492
Csteindachneri_ANWCR5058,University of Canberra Wildlife Tissue Collection,MT958357,MT964030,MT959257,MT959432,MT965285,MT959946,-,MT964882,MT960748,MT961273,MT961760,MT962191,MT962682,MT963116,MT963493
Csteindachneri_ATP516,University of Canberra Wildlife Tissue Collection,MT958358,MT964031,MT959254,MT959433,MT965284,-,-,MT964896,MT960975,MT961274,MT961761,MT962192,MT962683,MT963117,MT963494
Ctimorensis_AMNH167209,American Museum of Natural History,-,MT964032,-,MT959434,MT965491,-,-,MT964899,-,MT961275,-,MT962193,MT962684,MT963118,MT963495
Ctimorensis_LACM183212,Los Angeles County Museum,MT958359,MT964033,MT959247,MT959435,-,-,-,MT964869,-,MT961276,MT961762,MT962194,MT962685,MT963119,MT963496
Ctrifasciata_KFBG030278065,Kadoorie Farms and Botanic Gardens,JQ596036,JQ596076,JQ596116,JQ596156,JQ596196,EF011312,JQ596245,JQ596419,JQ596379,EF011448,JQ596465,JQ596512,JQ596551,JQ596587,JQ596626
Ctrifasciata_KFBG030552847,Kadoorie Farms and Botanic Gardens,JQ596037,JQ596077,JQ596117,JQ596157,JQ596197,EF011308,JQ596246,JQ596420,JQ596380,EF011450,JQ596466,JQ596513,JQ596552,JQ596588,JQ596627
